IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,52634,35.186.224.24,443,10304,Spotify,com.spotify.music,TLS,Nieosiągalny,spclient.wg.spotify.com,60,40,1,1,2025-08-23T17:56:58.698+02:00,2025-08-23T17:56:58.700+02:00
17,10.215.173.1,9358,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Nieosiągalny,apresolve.spotify.com,0,0,0,0,2025-08-23T17:56:58.760+02:00,2025-08-23T17:56:58.760+02:00
6,10.215.173.1,38194,35.186.224.44,443,10304,Spotify,com.spotify.music,TLS,Nieosiągalny,gew4-dealer.spotify.com,60,40,1,1,2025-08-23T17:56:58.803+02:00,2025-08-23T17:56:58.811+02:00
17,10.215.173.1,10952,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Nieosiągalny,gew4-spclient.spotify.com,0,0,0,0,2025-08-23T17:56:58.816+02:00,2025-08-23T17:56:58.816+02:00
17,10.215.173.1,44731,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Nieosiągalny,gew4-spclient.spotify.com,0,0,0,0,2025-08-23T17:56:58.819+02:00,2025-08-23T17:56:58.819+02:00
17,10.215.173.1,32162,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Nieosiągalny,edge-mqtt-fallback.facebook.com,0,0,0,0,2025-08-23T17:56:58.848+02:00,2025-08-23T17:56:58.848+02:00
6,10.215.173.1,32974,157.240.210.23,443,10542,Instagram,com.instagram.android,TLS,Nieosiągalny,,60,40,1,1,2025-08-23T17:56:58.868+02:00,2025-08-23T17:56:58.875+02:00
17,10.215.173.1,38382,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,,0,0,0,0,2025-08-23T17:56:58.877+02:00,2025-08-23T17:56:58.877+02:00
17,10.215.173.1,11637,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Nieosiągalny,graph.facebook.com,0,0,0,0,2025-08-23T17:56:58.889+02:00,2025-08-23T17:56:58.889+02:00
17,10.215.173.1,38382,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,,0,0,0,0,2025-08-23T17:56:58.967+02:00,2025-08-23T17:56:58.967+02:00
6,10.215.173.1,54006,185.60.217.20,443,10542,Instagram,com.instagram.android,TLS,Nieosiągalny,,60,40,1,1,2025-08-23T17:56:59.069+02:00,2025-08-23T17:56:59.073+02:00
17,10.215.173.1,38382,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,,0,0,0,0,2025-08-23T17:56:59.158+02:00,2025-08-23T17:56:59.158+02:00
17,10.215.173.1,49736,10.215.173.2,53,10333,Posnania,com.yourbuildingapp.app.posnania,DNS,Nieosiągalny,api.yourb.app,0,0,0,0,2025-08-23T17:56:59.419+02:00,2025-08-23T17:56:59.419+02:00
17,10.215.173.1,2121,10.215.173.2,53,10333,Posnania,com.yourbuildingapp.app.posnania,DNS,Nieosiągalny,api.yourb.app,0,0,0,0,2025-08-23T17:56:59.428+02:00,2025-08-23T17:56:59.428+02:00
17,10.215.173.1,38382,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,,0,0,0,0,2025-08-23T17:56:59.559+02:00,2025-08-23T17:56:59.559+02:00
